Código de Serviço;Descrição do Serviço (TI-IDEAL);Serviço Correspondente (Tabela IR Fonte);% IR Fonte;Fundamento Legal;Sujeito à Retenção de IR?
04.15.01;psicanálise;Psicologia e Psicanálise;1,50%;art. 647 RIR/1999;SIM
04.16.01;psicologia;Psicologia e Psicanálise;1,50%;art. 647 RIR/1999;SIM
04.22.01;plano de medicina de grupo ou congênere;Medicina (exceto ambulatório, banco de sangue, casa de saúde, casa de recuperação, hospital e pronto-socorro);1,50%;art. 647 RIR/1999;SIM
04.22.02;plano de medicina individual ou congênere;Medicina (exceto ambulatório, banco de sangue, casa de saúde, casa de recuperação, hospital e pronto-socorro);1,50%;art. 647 RIR/1999;SIM
05.01.01;medicina veterinária;Medicina (exceto ambulatório, banco de sangue, casa de saúde, casa de recuperação, hospital e pronto-socorro);1,50%;art. 647 RIR/1999;SIM
05.01.02;zootecnia;Veterinária;1,50%;art. 647 RIR/1999;SIM
05.02.02;serviços prestados por clínica veterinária;Veterinária;1,50%;art. 647 RIR/1999;SIM
05.02.05;serviços prestados por unidade de atendimento não especificada, na área veterinária;Veterinária;1,50%;art. 647 RIR/1999;SIM
05.03.01;serviços de laboratórios de análise, na área veterinária;Veterinária;1,50%;art. 647 RIR/1999;SIM
05.04.01;inseminação artificial, fertilização in vitro ou congênere, na área veterinária;Veterinária;1,50%;art. 647 RIR/1999;SIM
05.09.01;plano de atendimento e assistência médico-veterinária;Veterinária;1,50%;art. 647 RIR/1999;SIM
07.01.01;engenharia;Engenharia;1,50%;art. 647 RIR/1999;SIM
07.01.02;agronomia;Engenharia;1,50%;art. 647 RIR/1999;SIM
07.01.03;agrimensura ou congênere;Elaboração de projetos;1,50%;art. 647 RIR/1999;SIM
07.01.04;arquitetura;Arquitetura;1,50%;art. 647 RIR/1999;SIM
07.01.05;geologia;Geologia;1,50%;art. 647 RIR/1999;SIM
07.01.06;urbanismo ou congênere;Urbanismo;1,50%;art. 647 RIR/1999;SIM
07.01.07;paisagismo ou congênere;Engenharia;1,50%;art. 647 RIR/1999;SIM
